0.000	-9.346E-2	0.280	0.0	0.0	0.0	0.0		
0.033	-0.421	0.561	-8.765	8.063	0.0	0.0
0.067	-0.678	0.818	-8.414	8.063	6.012	3.006
0.100	-0.981	1.098	-8.765	8.414	-9.018	-6.012
0.133	-1.262	1.379	-8.765	7.713	9.018	-6.012
0.167	-1.565	1.612	-8.414	7.713	12.02	0.000
0.200	-1.822	1.893	-7.713	8.063	12.02	-15.03
0.233	-2.079	2.150	-7.713	6.661	6.012	-9.018
0.267	-2.336	2.336	-7.362	7.012	-9.032	24.08
0.300	-2.570	2.617	-8.076	8.778	9.030	-15.05
0.333	-2.874	2.921	-7.372	6.319	-9.029	-48.15
0.366	-3.061	3.037	-7.710	4.556	0.000	-3.009
0.400	-3.388	3.224	-8.411	6.659	48.06	21.03
0.433	-3.621	3.481	-4.206	6.308	54.07	-30.04
0.466	-3.668	3.645	-3.855	4.206	-33.04	-36.05
0.500	-3.879	3.762	-7.360	3.855	-51.07	9.012
0.533	-4.159	3.902	-7.360	4.907	3.009	12.03
0.566	-4.369	4.089	-6.669	4.914	27.12	-12.05
0.600	-4.603	4.229	-5.976	3.867	9.029	-33.10
0.633	-4.766	4.346	-5.609	2.805	12.02	-6.012
0.666	-4.977	4.416	-5.594	3.147	0.000	9.014
0.700	-5.140	4.556	-5.256	3.854	9.009	-15.02
0.733	-5.327	4.673	-5.268	2.107	-9.029	-18.06
0.766	-5.491	4.696	-5.619	2.107	-12.04	-6.021
0.800	-5.701	4.813	-6.309	2.454	-18.03	15.03
0.833	-5.911	4.860	-6.648	2.449	3.007	-21.05
0.866	-6.145	4.977	-6.313	1.754	6.016	-15.04
0.900	-6.332	4.977	-5.976	0.703	9.023	-30.08
0.933	-6.542	5.023	-5.961	0.351	-3.007	-9.021
0.966	-6.729	5.000	-5.946	-0.350	-3.006	-3.006
1.000	-6.939	5.000	-6.309	0.351	18.03	9.015
1.033	-7.150	5.023	-4.918	0.351	12.01	-3.003
1.066	-7.266	5.023	-4.904	0.000	-18.06	-12.04
1.100	-7.477	5.023	-6.656	-0.350	-21.07	-15.05
1.133	-7.710	5.000	-6.323	-1.054	-12.02	-21.03
1.166	-7.897	4.953	-7.013	-1.753	6.014	-15.04
1.199	-8.178	4.883	-6.650	-2.100	27.01	-12.01
1.233	-8.341	4.813	-4.550	-2.450	3.004	9.011
1.266	-8.481	4.720	-6.316	-1.754	-48.18	-3.011
1.299	-8.762	4.696	-8.442	-2.111	-12.04	-30.09
1.333	-9.042	4.579	-7.013	-4.208	12.03	-48.11
1.366	-9.229	4.416	-6.991	-5.243	12.03	3.007
1.399	-9.509	4.229	-7.012	-4.207	24.05	18.04
1.433	-9.696	4.136	-4.923	-3.516	24.05	0.000
1.466	-9.836	3.995	-5.259	-4.558	-39.14	-27.09
1.499	-10.05	3.832	-7.701	-5.251	-30.06	-27.05
1.533	-10.35	3.645	-7.713	-6.311	12.01	-24.01
1.566	-10.56	3.411	-6.311	-7.012	18.04	-18.04
1.599	-10.77	3.178	-6.661	-7.362	-39.08	-15.03
1.633	-11.00	2.921	-8.765	-8.063	-21.04	-27.05
1.666	-11.36	2.640	-8.765	-9.115	27.05	-6.012
1.699	-11.59	2.313	-6.311	-8.765	12.02	3.006
1.733	-11.78	2.056	-7.713	-8.414	-6.012	-12.02
1.766	-12.10	1.752	-7.713	-9.816	-18.04	-36.07
1.799	-12.29	1.402	-7.713	-10.87	-6.012	-33.07
1.833	-12.62	1.028	-9.115	-11.92	-24.05	-30.06
1.866	-12.90	0.607	-8.765	-12.97	-15.03	-27.05
1.899	-13.20	0.164	-10.17	-13.67	21.04	15.03
1.933	-13.57	-0.304	-8.063	-12.27	69.14	105.2
1.966	-13.74	-0.654	-4.558	-6.661	81.16	147.3
1.999	-13.88	-0.748	-3.155	-1.753	15.03	111.2
2.032	-13.95	-0.771	-3.155	0.351	0.0	0.0	
2.066	-14.09	-0.724	0.0	0.0	0.0	0.0
