0.000	-0.216	0.318	0	0	0	0			
0.033	-0.446	0.529	-7.494	5.764	0	0
0.067	-0.715	0.702	-6.341	5.476	9.888	12.36
0.100	-0.868	0.894	-6.053	6.629	12.36	22.25
0.133	-1.118	1.144	-6.341	7.205	0.000	2.472
0.167	-1.291	1.374	-5.476	6.629	12.36	-12.36
0.200	-1.483	1.585	-5.764	6.341	-9.857	9.857
0.233	-1.675	1.797	-6.033	7.183	27.14	-27.14
0.267	-1.886	2.066	-4.315	5.178	37.06	-24.71
0.300	-1.963	2.142	-2.890	4.335	14.80	-12.34
0.333	-2.078	2.354	-3.746	5.475	-12.36	-2.471
0.367	-2.213	2.507	-3.736	3.736	-7.413	-27.18
0.400	-2.328	2.603	-4.034	3.457	-14.82	0.000
0.433	-2.481	2.738	-4.911	4.045	7.411	9.882
0.466	-2.654	2.872	-3.746	4.034	37.06	4.941
0.500	-2.731	3.006	-2.011	4.310	42.00	-22.24
0.533	-2.789	3.160	-1.153	2.882	-9.885	-19.77
0.566	-2.808	3.198	-2.312	2.312	-29.65	-9.883
0.600	-2.942	3.314	-3.746	2.881	-17.29	0.000
0.633	-3.057	3.390	-3.160	2.011	2.471	-22.24
0.667	-3.153	3.448	-3.458	1.441	14.83	-7.414
0.700	-3.288	3.486	-2.602	1.445	22.24	-7.414
0.733	-3.326	3.544	-1.441	1.153	27.18	4.943
0.766	-3.384	3.563	-1.149	1.436	-14.82	-7.411
0.800	-3.403	3.640	-2.017	1.152	-17.29	-19.76
0.833	-3.518	3.640	-2.889	-0.289	-14.86	-42.10
0.866	-3.595	3.621	-2.600	-1.444	12.37	-37.12
0.900	-3.691	3.544	-2.303	-2.879	19.78	-4.944
0.933	-3.749	3.429	-1.150	-2.013	19.75	12.35
0.966	-3.768	3.410	-0.865	-1.441	-7.399	-22.20
1.000	-3.806	3.333	-1.729	-3.747	-4.944	17.30
1.033	-3.883	3.160	-1.441	-1.153	7.416	14.83
1.066	-3.902	3.256	-0.865	-0.865	2.472	2.472
1.100	-3.941	3.102	-1.441	-2.882	-12.36	-9.888
1.133	-3.998	3.064	-1.729	-0.576	-14.83	-9.888
1.166	-4.056	3.064	-2.306	-3.170	-4.944	-32.14
1.199	-4.152	2.853	-2.306	-4.035	0.000	0.000
1.233	-4.210	2.795	-2.018	-2.018	22.25	32.14
1.266	-4.286	2.718	-1.153	-2.306	14.83	-19.78
1.299	-4.286	2.642	-0.576	-3.170	4.936	-27.15
1.333	-4.325	2.507	-1.151	-4.316	-19.74	-37.01
1.366	-4.363	2.354	-1.726	-5.466	-29.61	-2.467
1.399	-4.440	2.142	-3.169	-4.898	2.467	12.33
1.433	-4.574	2.027	-2.017	-4.034	12.35	-4.941
1.466	-4.574	1.874	-1.441	-5.474	-7.411	-17.29
1.499	-4.670	1.662	-3.169	-5.474	2.470	-2.470
1.533	-4.786	1.509	-1.441	-5.186	2.470	-4.941
1.566	-4.766	1.317	-2.017	-6.051	-42.00	-12.35
1.599	-4.920	1.105	-5.186	-6.051	-59.29	-7.411
1.633	-5.112	0.913	-5.762	-6.339	29.65	9.882
1.666	-5.304	0.683	-3.457	-5.762	44.47	4.941
1.699	-5.342	0.529	-2.017	-5.474	2.470	12.35
1.733	-5.439	0.318	-3.746	-5.474	-91.41	-17.29
1.766	-5.592	0.165	-7.779	-6.051	0	0	
1.799	-5.957	-8.507E-2	0	0	0	0
