0.000	-2.482E-2	0.199	0	0	0	0			
0.033	-0.248	0.397	-8.938	7.820	0	0	
0.067	-0.620	0.720	-11.54	7.448	-28.74	31.93
0.100	-1.018	0.893	-10.80	8.565	41.51	28.74
0.133	-1.340	1.291	-8.565	10.80	22.35	-3.193
0.167	-1.588	1.613	-8.938	7.820	12.77	-60.67
0.200	-1.936	1.812	-8.565	6.331	28.74	-15.97
0.233	-2.159	2.035	-6.331	7.076	9.579	35.12
0.267	-2.358	2.283	-7.820	8.565	-47.90	-9.579
0.300	-2.680	2.606	-10.05	7.076	15.97	-35.12
0.333	-3.028	2.755	-7.076	5.214	22.35	-38.32
0.367	-3.152	2.953	-7.076	5.214	3.193	-6.386
0.400	-3.499	3.102	-8.565	4.469	-15.97	12.77
0.433	-3.723	3.251	-7.076	5.958	35.12	12.77
0.467	-3.971	3.499	-6.703	5.958	-6.386	-31.93
0.500	-4.170	3.648	-7.076	3.352	-28.74	-41.51
0.533	-4.443	3.723	-8.938	2.979	0.000	19.16
0.566	-4.765	3.847	-7.448	4.841	19.16	-3.193
0.600	-4.939	4.045	-6.703	3.352	19.16	-28.74
0.633	-5.212	4.070	-7.076	1.862	-35.12	-22.35
0.666	-5.410	4.170	-8.193	2.607	-6.386	28.74
0.700	-5.758	4.244	-8.565	3.352	-22.35	-9.579
0.733	-5.981	4.393	-8.565	2.607	-28.78	-35.18
0.766	-6.329	4.418	-11.19	0.373	-38.43	-67.26
0.800	-6.726	4.418	-11.21	-1.494	57.54	-6.394
0.833	-7.073	4.318	-7.446	-0.745	89.57	6.398
0.866	-7.222	4.368	-4.464	0.000	51.14	31.96
0.900	-7.371	4.318	-4.475	0.373	-6.387	-22.36
0.933	-7.520	4.393	-4.848	-0.373	-22.37	-9.586
0.966	-7.694	4.294	-5.954	-1.489	-63.78	6.378
1.000	-7.917	4.294	-8.914	0.743	-38.30	-2.840E-13
1.033	-8.289	4.343	-9.312	-1.117	41.52	-54.30
1.066	-8.538	4.219	-5.603	-3.735	73.44	-12.77
1.099	-8.662	4.095	-4.096	-1.862	3.198	22.39
1.133	-8.811	4.095	-5.578	-1.487	-47.90	-6.387
1.166	-9.034	3.996	-7.451	-2.980	-25.52	-38.27
1.199	-9.307	3.897	-7.451	-3.725	0.000	-19.17
1.233	-9.530	3.748	-7.078	-4.470	9.586	6.390
1.266	-9.779	3.599	-7.078	-3.353	-3.195	-3.195
1.299	-10.00	3.524	-7.078	-4.098	-3.195	-15.98
1.333	-10.25	3.326	-7.451	-5.215	-12.78	-51.12
1.366	-10.50	3.177	-7.823	-6.706	-9.586	-12.78
1.399	-10.77	2.879	-8.196	-7.078	31.95	9.586
1.433	-11.04	2.705	-5.960	-5.215	19.13	25.51
1.466	-11.17	2.532	-5.949	-5.577	-19.14	-35.09
1.499	-11.44	2.333	-8.183	-7.439	-44.69	-38.30
1.533	-11.71	2.035	-8.577	-8.577	22.36	-15.97
1.566	-12.01	1.762	-7.085	-8.204	28.76	19.17
1.599	-12.19	1.489	-5.955	-7.444	6.380	6.380
1.633	-12.41	1.266	-7.059	-7.431	-35.11	-12.77
1.666	-12.66	0.993	-8.193	-8.565	-108.6	-137.3
1.699	-12.96	0.695	-13.81	-15.68	60.67	63.86
1.733	-13.58	-4.964E-2	-7.076	-8.193	92.60	83.02
1.766	-13.43	0.149	-2.601	-3.715	54.28	134.1
1.799	-13.75	-0.298	-7.448	-5.214	-51.09	6.386
1.833	-13.92	-0.199	-4.479	0.747	63.87	108.6
1.866	-14.05	-0.248	-3.352	0.000	3.194	-19.16
1.899	-14.15	-0.199	-4.088	0.372	0	0	
1.933	-14.32	-0.223	0	0	0	0
