0.000	-0.151	0.151	0	0	0	0			
0.033	-0.435	0.473	-6.243	7.095	0	0
0.067	-0.567	0.624	-6.811	5.676	-4.866	-14.60
0.100	-0.889	0.851	-7.946	6.811	-24.33	4.866
0.133	-1.097	1.078	-7.378	5.959	38.93	-26.77
0.167	-1.381	1.248	-6.243	4.824	19.47	-26.77
0.200	-1.513	1.400	-5.108	4.257	9.733	12.17
0.233	-1.721	1.532	-6.243	5.392	-34.07	12.17
0.267	-1.929	1.759	-7.095	5.676	2.433	-9.733
0.300	-2.194	1.910	-6.527	4.257	12.17	-46.23
0.333	-2.364	2.043	-5.676	2.838	9.733	-9.733
0.367	-2.572	2.099	-6.243	3.122	-19.47	-12.17
0.400	-2.780	2.251	-6.811	2.838	-4.866	0.000
0.433	-3.026	2.288	-6.811	2.270	0.000	-9.733
0.467	-3.234	2.402	-6.527	2.838	2.433	0.000
0.500	-3.461	2.478	-6.811	1.986	29.20	-17.03
0.533	-3.688	2.534	-4.824	1.703	7.300	0.000
0.566	-3.782	2.591	-5.392	1.986	-2.433	-12.17
0.600	-4.047	2.667	-6.243	1.135	9.733	-34.07
0.633	-4.199	2.667	-3.973	-0.568	9.733	-19.47
0.666	-4.312	2.629	-5.392	-0.284	-12.17	17.03
0.700	-4.558	2.648	-5.676	0.851	-24.33	-7.300
0.733	-4.690	2.686	-5.959	-0.568	7.300	-24.33
0.766	-4.955	2.610	-6.243	-1.419	-9.733	-17.03
0.800	-5.106	2.591	-5.676	-1.135	14.60	4.866
0.833	-5.333	2.534	-5.959	-1.419	-7.300	-2.433
0.866	-5.504	2.496	-5.676	-1.135	24.33	-4.866
0.900	-5.712	2.459	-4.824	-1.703	-2.433	-19.47
0.933	-5.825	2.383	-5.108	-2.554	0.000	-2.433
0.966	-6.052	2.288	-5.676	-1.986	-9.733	-7.300
1.000	-6.203	2.251	-5.108	-2.554	0.000	-12.17
1.033	-6.392	2.118	-5.959	-3.405	-2.433	-19.47
1.066	-6.600	2.024	-5.392	-3.405	-2.437	-4.874
1.100	-6.752	1.891	-5.684	-3.979	0.000	-4.881
1.133	-6.979	1.759	-5.977	-3.700	2.437	-7.311
1.166	-7.149	1.645	-5.108	-4.257	4.875	-17.06
1.200	-7.319	1.475	-5.668	-5.101	-4.868	-4.868
1.233	-7.527	1.305	-5.678	-4.542	-14.58	-9.723
1.266	-7.697	1.173	-6.245	-5.394	4.870	-12.17
1.299	-7.943	0.946	-5.961	-5.961	12.17	-2.435
1.333	-8.095	0.775	-4.826	-5.110	12.17	9.739
1.366	-8.265	0.605	-5.394	-5.394	-21.91	-31.65
1.399	-8.454	0.416	-6.245	-7.097	-4.870	-17.04
1.433	-8.681	0.132	-5.961	-7.097	21.91	65.74
1.466	-8.851	-5.674E-2	-4.542	-2.555	34.09	90.09
1.499	-8.983	-3.782E-2	-3.690	-0.284	0	0	
1.533	-9.097	-7.565E-2	0	0	0	0
