0.000	-0.214	0.285	0	0	0	0		
0.033	-0.404	0.451	-7.139	6.425	0	0
0.067	-0.689	0.713	-7.476	5.696	-9.174	-12.23
0.100	-0.903	0.831	-7.123	4.630	6.119	-21.42
0.133	-1.164	1.022	-7.503	5.002	-15.27	0.000
0.167	-1.402	1.164	-7.842	4.278	18.34	-42.79
0.200	-1.687	1.307	-6.757	2.489	3.057	-21.40
0.233	-1.853	1.330	-6.774	2.139	-3.057	-12.23
0.267	-2.138	1.449	-7.863	2.502	0.000	-3.065
0.300	-2.376	1.497	-6.433	1.430	18.36	-24.48
0.333	-2.566	1.544	-6.408	1.068	-12.23	-27.51
0.366	-2.803	1.568	-7.467	-0.356	-15.27	-9.160
0.400	-3.065	1.520	-7.488	0.000	3.050	-5.428E-13
0.433	-3.302	1.568	-7.132	0.357	12.23	-3.058
0.466	-3.540	1.544	-6.775	-0.713	15.29	-24.47
0.500	-3.753	1.520	-6.062	-1.070	3.058	-27.53
0.533	-3.944	1.473	-6.418	-2.496	0.000	-21.41
0.566	-4.181	1.354	-6.418	-2.853	6.117	-6.117
0.600	-4.371	1.283	-5.705	-2.496	6.117	-9.175
0.633	-4.561	1.188	-6.062	-3.566	15.29	-12.23
0.666	-4.775	1.045	-4.992	-3.566	0.000	-12.23
0.700	-4.894	0.950	-5.349	-3.922	9.175	-21.41
0.733	-5.131	0.784	-5.349	-5.349	-21.37	-39.69
0.766	-5.250	0.594	-5.696	-6.408	0.000	-18.32
0.800	-5.511	0.356	-6.408	-6.764	12.21	21.37
0.833	-5.678	0.143	-4.279	-4.992	6.107	42.75
0.866	-5.797	2.376E-2	-5.705	-3.566	0.000	73.40
0.900	-6.058	-9.503E-2	-5.349	-0.713	51.99	73.40
0.933	-6.153	-2.376E-2	-1.426	2.139	42.82	12.23
0.966	-6.153	4.751E-2	-2.139	0.000	0	0
1.000	-6.295	-2.376E-2	0	0	0	0
